Date,(INDEX) S&P Composite 1500 / Information Technology - SEC - Total Return    
12/7/2018,105.33
12/10/2018,108.12
12/11/2018,108.25
12/12/2018,109.99
12/13/2018,110.23
12/14/2018,105.15
12/17/2018,100.56
12/18/2018,102.32
12/19/2018,98.44
12/20/2018,94.76
12/21/2018,88.91
12/24/2018,83.85
12/25/2018,83.85
12/26/2018,94.85
12/27/2018,96.4
12/28/2018,95.97
12/31/2018,97.87
