Year,Month,States Affected and Category by States,Highest ,Central Pressure ,Max Wind ,Name
,,,Saffir- ,(mb),(kt),
,,,Simpson ,,,
,,,Category,,,
2014,Jul,"NC, 2",2,973,85,Arthur
2015,None,,,,,
2016,Sep,"FL, NW1",1,981,70,Hermine
2016,Oct,"* FL, NE2; GA, 1; SC, 1; NC, 1",2,963,85,Matthew
2017,Aug,"TX,S 4",4,937,115,Harvey
2017,Sep,"FL,SW 4,SE 1",4,931,115,Irma
2017,Oct,"LA 1, MS 1",1,983,65,Nate
,,,,,,
http://www.aoml.noaa.gov/hrd/tcfaq/E23.html,,,,,,
