Date,(INDEX) S&P Composite 1500 / Health Care - SEC - Total Return    
11/1/2018,78.86
11/2/2018,77.84
11/5/2018,79.26
11/6/2018,80.16
11/7/2018,85.36
11/8/2018,85.45
11/9/2018,84.7
11/12/2018,82.02
11/13/2018,80.76
11/14/2018,79.21
11/15/2018,81.08
11/16/2018,82.78
11/19/2018,80.22
11/20/2018,78.44
11/21/2018,77.7
11/22/2018,77.7
11/23/2018,77.98
11/26/2018,79.76
11/27/2018,81.4
11/28/2018,85.93
11/29/2018,86.51
11/30/2018,88.54
12/3/2018,89.44
12/4/2018,84.93
12/5/2018,84.93
12/6/2018,84.27
12/7/2018,79.65
12/10/2018,80.21
12/11/2018,80.74
12/12/2018,82.32
12/13/2018,82.28
12/14/2018,76.26
12/17/2018,72.44
12/18/2018,71.11
12/19/2018,68.85
12/20/2018,66.53
12/21/2018,64.04
12/24/2018,60
12/25/2018,60
12/26/2018,67.33
12/27/2018,69.06
12/28/2018,69.19
12/31/2018,71.56
