Date,(INDEX) S&P Composite 1500 / Health Care - SEC - Total Return    
2/5/2015,28.57
2/6/2015,27.55
2/9/2015,26.11
2/10/2015,28.06
2/11/2015,28.3
2/12/2015,28.76
2/13/2015,29.42
2/16/2015,29.42
2/17/2015,30.21
2/18/2015,30.44
2/19/2015,30.55
2/20/2015,31.96
2/23/2015,32.42
2/24/2015,32.33
2/25/2015,32.36
2/26/2015,32.74
2/27/2015,32.17
3/2/2015,33.3
3/3/2015,32.15
3/4/2015,32.68
3/5/2015,33.18
3/6/2015,30.76
3/9/2015,31.45
3/10/2015,29.99
3/11/2015,30.06
3/12/2015,31.76
3/13/2015,31.53
3/16/2015,34.35
3/17/2015,34
3/18/2015,35.67
3/19/2015,36.46
3/20/2015,37.46
3/23/2015,37.12
3/24/2015,36
3/25/2015,33.47
3/26/2015,33.13
3/27/2015,34.16
3/30/2015,35.51
3/31/2015,33.68
4/1/2015,32.1
4/2/2015,32.42
4/3/2015,32.42
4/6/2015,32.64
4/7/2015,32.89
4/8/2015,34.05
4/9/2015,35.03
4/10/2015,36.12
4/13/2015,35.39
4/14/2015,35.57
4/15/2015,35.87
4/16/2015,35.79
4/17/2015,34.68
4/20/2015,35.47
4/21/2015,36.4
4/22/2015,36.62
4/23/2015,37.23
4/24/2015,36.8
4/27/2015,34.32
4/28/2015,34.75
4/29/2015,33.62
4/30/2015,31.61
5/1/2015,33.35
5/4/2015,34.16
5/5/2015,32.59
5/6/2015,32.08
5/7/2015,32.71
5/8/2015,34.8
5/11/2015,34.79
5/12/2015,34.13
5/13/2015,34.06
5/14/2015,35.95
5/15/2015,36.22
5/18/2015,37.05
5/19/2015,37.69
5/20/2015,37.92
5/21/2015,37.95
5/22/2015,37.62
5/25/2015,37.62
5/26/2015,36.3
5/27/2015,37.83
5/28/2015,37.93
5/29/2015,37.65
6/1/2015,38.12
6/2/2015,37.36
6/3/2015,37.55
6/4/2015,36.61
6/5/2015,36.6
6/8/2015,36
6/9/2015,36.01
6/10/2015,37.58
6/11/2015,38.4
6/12/2015,36.93
6/15/2015,36.99
6/16/2015,37.7
6/17/2015,37.85
6/18/2015,39.86
6/19/2015,39.73
6/22/2015,40.78
6/23/2015,41
6/24/2015,39.59
6/25/2015,40.33
6/26/2015,40.12
6/29/2015,36.93
6/30/2015,37.52
7/1/2015,38.62
7/2/2015,38.16
7/3/2015,38.16
7/6/2015,38.02
7/7/2015,38.6
7/8/2015,36.36
7/9/2015,37.06
7/10/2015,38.94
7/13/2015,40.13
7/14/2015,41.48
7/15/2015,41.54
7/16/2015,42.27
7/17/2015,42.05
7/20/2015,42.41
7/21/2015,41.87
7/22/2015,42.2
7/23/2015,41.68
7/24/2015,38.25
7/27/2015,38
7/28/2015,40.45
7/29/2015,40.8
7/30/2015,40.63
7/31/2015,41.37
8/3/2015,41.34
8/4/2015,41.26
8/5/2015,42.38
8/6/2015,39.45
8/7/2015,39.15
8/10/2015,40.27
8/11/2015,39.17
8/12/2015,39.19
8/13/2015,38.93
8/14/2015,39.3
8/17/2015,40.78
8/18/2015,40.58
8/19/2015,39.93
8/20/2015,36.63
8/21/2015,32.56
8/24/2015,27.29
8/25/2015,25.63
8/26/2015,30.85
8/27/2015,33.33
8/28/2015,32.84
8/31/2015,30.44
9/1/2015,26.99
9/2/2015,29.51
9/3/2015,28.71
9/4/2015,27.09
9/7/2015,27.09
9/8/2015,30.71
9/9/2015,28.65
9/10/2015,29.8
9/11/2015,30.81
9/14/2015,30.36
9/15/2015,32.1
9/16/2015,32.53
9/17/2015,33.72
9/18/2015,31.8
9/21/2015,30.05
9/22/2015,29.18
9/23/2015,29.07
9/24/2015,27.75
9/25/2015,24.31
9/28/2015,19.47
9/29/2015,20.38
9/30/2015,22.93
10/1/2015,23.87
10/2/2015,26.45
10/5/2015,26.89
10/6/2015,23.91
10/7/2015,25.7
10/8/2015,26.14
10/9/2015,26.74
10/12/2015,27.09
10/13/2015,25.57
10/14/2015,25.21
10/15/2015,27.95
10/16/2015,29.21
10/19/2015,29.62
10/20/2015,27.7
10/21/2015,26.59
10/22/2015,25.6
10/23/2015,28.19
10/26/2015,28.8
10/27/2015,30.95
10/28/2015,32.29
10/29/2015,32.66
10/30/2015,31.98
11/2/2015,34.66
11/3/2015,34.28
11/4/2015,33.82
11/5/2015,33.41
11/6/2015,33.11
11/9/2015,32.03
11/10/2015,32.86
11/11/2015,31.54
11/12/2015,29.2
11/13/2015,28.92
11/16/2015,30.51
11/17/2015,31.07
11/18/2015,33.63
11/19/2015,31.42
11/20/2015,32.54
11/23/2015,32.35
11/24/2015,32.66
11/25/2015,33.4
11/26/2015,33.4
11/27/2015,33.69
11/30/2015,31.95
12/1/2015,34.18
12/2/2015,33.04
12/3/2015,30.07
12/4/2015,33.09
12/7/2015,32.27
12/8/2015,32.55
12/9/2015,31.2
12/10/2015,32.23
12/11/2015,30.25
12/14/2015,30.95
12/15/2015,32.71
12/16/2015,34.43
12/17/2015,32.99
12/18/2015,31.21
12/21/2015,32.32
12/22/2015,33.27
12/23/2015,34.67
12/24/2015,34.83
12/25/2015,34.83
12/28/2015,34.26
12/29/2015,35.89
12/30/2015,35.28
12/31/2015,34.04
1/1/2016,34.04
1/4/2016,31.43
1/5/2016,32.13
1/6/2016,31.05
1/7/2016,28.33
1/8/2016,26.5
1/11/2016,24.99
1/12/2016,26.46
1/13/2016,22.79
1/14/2016,25.97
1/15/2016,24.26
1/18/2016,24.26
1/19/2016,24.1
1/20/2016,24.43
1/21/2016,24.02
1/22/2016,26.04
1/25/2016,24.86
1/26/2016,25.88
1/27/2016,24.44
1/28/2016,21.56
1/29/2016,23.8
2/1/2016,23.95
2/2/2016,22.14
2/3/2016,22.72
2/4/2016,22.2
2/5/2016,19.71
2/8/2016,17.92
2/9/2016,18.8
2/10/2016,19.88
2/11/2016,17.91
2/12/2016,19.53
2/15/2016,19.53
2/16/2016,21.73
2/17/2016,23.38
2/18/2016,22.51
2/19/2016,22.54
2/22/2016,24.18
2/23/2016,23.23
2/24/2016,23.69
2/25/2016,25.27
2/26/2016,25.08
2/29/2016,23.13
3/1/2016,25.76
3/2/2016,26
3/3/2016,25.67
3/4/2016,25.53
3/7/2016,26.54
3/8/2016,24.87
3/9/2016,25.1
3/10/2016,25.11
3/11/2016,27.66
3/14/2016,27.14
3/15/2016,25.03
3/16/2016,24.69
3/17/2016,23.37
3/18/2016,25.07
3/21/2016,25.59
3/22/2016,26.79
3/23/2016,25.96
3/24/2016,25.82
3/25/2016,25.82
3/28/2016,25.5
3/29/2016,27.14
3/30/2016,27.09
3/31/2016,26.87
4/1/2016,28.49
4/4/2016,29.66
4/5/2016,28.07
4/6/2016,31.44
4/7/2016,30.06
4/8/2016,29.55
4/11/2016,28.64
4/12/2016,29.73
4/13/2016,31.01
4/14/2016,31.16
4/15/2016,31.15
4/18/2016,32.31
4/19/2016,32.63
4/20/2016,33.43
4/21/2016,34.17
4/22/2016,34.55
4/25/2016,34.01
4/26/2016,33.51
4/27/2016,33.38
4/28/2016,32.48
4/29/2016,30.55
5/2/2016,31.31
5/3/2016,30.87
5/4/2016,29.62
5/5/2016,30.18
5/6/2016,29.4
5/9/2016,30.87
5/10/2016,31.91
5/11/2016,30.37
5/12/2016,29.58
5/13/2016,29.38
5/16/2016,31.15
5/17/2016,29.75
5/18/2016,30.2
5/19/2016,29.18
5/20/2016,30.38
5/23/2016,29.81
5/24/2016,31.77
5/25/2016,32.57
5/26/2016,32.52
5/27/2016,33.23
5/30/2016,33.23
5/31/2016,33.44
6/1/2016,34
6/2/2016,35.71
6/3/2016,35.21
6/6/2016,35.99
6/7/2016,35.17
6/8/2016,35.88
6/9/2016,35.56
6/10/2016,34.27
6/13/2016,33.3
6/14/2016,33.46
6/15/2016,32.59
6/16/2016,33.02
6/17/2016,31.54
6/20/2016,32.44
6/21/2016,32.07
6/22/2016,32.5
6/23/2016,34.21
6/24/2016,30.39
6/27/2016,28.45
6/28/2016,31.02
6/29/2016,33.5
6/30/2016,34.82
7/1/2016,35.63
7/4/2016,35.63
7/5/2016,35.47
7/6/2016,37.05
7/7/2016,36.82
7/8/2016,38.38
7/11/2016,38.22
7/12/2016,38.87
7/13/2016,38.89
7/14/2016,39.39
7/15/2016,39.29
7/18/2016,39.3
7/19/2016,39.03
7/20/2016,40.26
7/21/2016,40.66
7/22/2016,40.94
7/25/2016,40.7
7/26/2016,40.55
7/27/2016,41.1
7/28/2016,41.1
7/29/2016,41.52
8/1/2016,42.32
8/2/2016,41.72
8/3/2016,41.54
